City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
118,Ponta Do Sol,PT,32.6667,-17.1,83.71,77,7,6.73,clear sky
119,Mount Isa,AU,-20.7333,139.5,76.77,29,0,6.91,clear sky
120,Atuona,PF,-9.8,-139.0333,76.1,71,38,19.69,scattered clouds
121,Huarmey,PE,-10.0681,-78.1522,67.23,74,92,8.84,overcast clouds
122,Goundam,ML,16.4145,-3.6708,102.38,23,77,10.8,broken clouds
123,Bandarbeyla,SO,9.4942,50.8122,78.21,82,74,31.27,broken clouds
124,Chapais,CA,49.7834,-74.8492,49.78,46,16,8.77,few clouds
125,Cidreira,BR,-30.1811,-50.2056,64.15,69,8,13.91,clear sky
126,Xai-Xai,MZ,-25.0519,33.6442,71.74,75,0,12.57,clear sky
127,Urumqi,CN,43.801,87.6005,58.15,31,0,2.24,clear sky
128,Dengfeng,CN,34.4553,113.0281,72.64,56,28,2.57,scattered clouds
129,San Cristobal,VE,7.7669,-72.225,77.18,50,82,7.99,broken clouds
130,Nanortalik,GL,60.1432,-45.2371,50.14,83,100,7.99,light rain
131,Gold Coast,AU,-28.0,153.4333,64.99,97,87,3.44,overcast clouds
132,Kaeo,NZ,-35.1,173.7833,50.32,87,9,4.05,clear sky
133,Lubango,AO,-14.9172,13.4925,84.06,11,0,14.97,clear sky
134,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,11.5,few clouds
135,Linxia,CN,35.6003,103.2064,55.71,84,100,1.9,overcast clouds
136,Castro,BR,-24.7911,-50.0119,59.22,70,94,8.48,overcast clouds
137,Barrow,US,71.2906,-156.7887,34.5,86,100,19.26,overcast clouds
138,Monchegorsk,RU,67.9397,32.8739,46.67,97,100,7.29,light rain
139,Tula,RU,54.2044,37.6111,57.6,96,100,8.48,overcast clouds
140,Salalah,OM,17.0151,54.0924,78.93,88,100,6.73,overcast clouds
141,Alofi,NU,-19.0595,-169.9187,71.49,94,99,5.75,overcast clouds
142,Gasa,PS,31.5,34.4667,82.89,59,0,11.32,clear sky
143,Linqiong,CN,30.4159,103.4609,71.42,91,100,2.42,overcast clouds
144,Shetpe,KZ,44.1667,52.1167,73.45,30,75,1.68,broken clouds
145,Kodiak,US,57.79,-152.4072,49.1,92,100,1.74,light rain
146,Kaitangata,NZ,-46.2817,169.8464,35.74,91,5,7.14,clear sky
147,La Macarena,CO,2.1837,-73.7849,74.14,96,100,5.12,light rain
148,Dikson,RU,73.5069,80.5464,36.36,76,93,5.06,light rain
149,Saint Anthony,US,45.0205,-93.218,70.47,83,100,3.0,overcast clouds
150,Provideniya,RU,64.3833,-173.3,44.58,96,100,34.99,light rain
151,Baruun-Urt,MN,46.6806,113.2792,58.05,24,54,14.54,broken clouds
152,Sao Filipe,CV,14.8961,-24.4956,80.15,76,93,14.18,overcast clouds
153,Thiadiaye,SN,14.4205,-16.7056,88.61,58,16,9.78,few clouds
154,Bethel,US,41.3712,-73.414,69.76,53,13,1.01,few clouds
155,Mandera,KE,3.9366,41.867,88.05,35,83,15.48,broken clouds
156,Khislavichi,RU,54.1871,32.1582,56.39,58,47,10.83,scattered clouds
157,Barguzin,RU,53.6167,109.6167,44.33,84,100,1.72,overcast clouds
158,Umea,SE,63.8284,20.2597,53.53,94,75,8.05,light rain
159,Rutana,BI,-3.8667,30.1,72.93,31,32,2.93,scattered clouds
160,Araxa,BR,-19.5933,-46.9406,78.76,47,0,2.3,clear sky
