City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Vila Velha,BR,2022-09-13 15:32:45,-20.3297,-40.2925,85.95,55,20,14.0
111,Kahului,US,2022-09-13 15:29:41,20.8947,-156.47,76.84,87,100,11.5
112,Kieta,PG,2022-09-13 15:32:46,-6.2167,155.6333,78.39,83,82,4.94
113,Puerto Ayora,EC,2022-09-13 15:32:46,-0.7393,-90.3518,69.76,97,100,3.0
114,Beringovskiy,RU,2022-09-13 15:32:47,63.05,179.3167,44.69,83,100,11.65
115,Pevek,RU,2022-09-13 15:32:47,69.7008,170.3133,34.2,92,100,5.28
116,Bukachacha,RU,2022-09-13 15:32:47,52.9833,116.9167,46.65,73,63,3.96
117,Kuminskiy,RU,2022-09-13 15:32:48,58.6667,66.5667,49.14,68,100,5.08
118,Namibe,AO,2022-09-13 15:32:48,-15.1961,12.1522,67.69,81,45,10.54
119,Honningsvag,NO,2022-09-13 15:32:48,70.9821,25.9704,46.15,66,20,10.36
120,Sitka,US,2022-09-13 15:32:49,57.0531,-135.33,53.49,82,100,6.91
121,Antofagasta,CL,2022-09-13 15:29:51,-23.65,-70.4,58.28,60,5,11.41
122,Paamiut,GL,2022-09-13 15:32:49,61.994,-49.6678,44.29,63,28,8.01
123,Mogadishu,SO,2022-09-13 15:32:49,2.0371,45.3438,76.93,86,93,18.34
124,Qasigiannguit,GL,2022-09-13 15:32:50,68.8193,-51.1922,46.65,75,100,6.2
125,Hilo,US,2022-09-13 15:32:50,19.7297,-155.09,77.29,91,75,5.75
126,Mier,MX,2022-09-13 15:32:51,26.4333,-99.15,86.9,52,0,8.63
127,Dudinka,RU,2022-09-13 15:32:51,69.4058,86.1778,34.63,95,97,7.83
128,Mafeteng,LS,2022-09-13 15:32:51,-29.823,27.2374,57.87,18,0,4.94
129,Ghedi,IT,2022-09-13 15:32:51,45.4011,10.2793,83.5,48,83,4.61
130,Ostrovnoy,RU,2022-09-13 15:32:52,68.0531,39.5131,47.46,82,98,10.2
